playerid,name
203992,Bogdan Bogdanovic
1628989,Kevin Huerter
1629629,Cam Reddish
1629027,Trae Young
203524,Solomon Hill
203991,Clint Capela
1629631,De'Andre Hunter
1628381,John Collins
1630219,Skylar Mays
201568,Danilo Gallinari
1629164,Brandon Goodwin
200765,Rajon Rondo
1630233,Nathan Knight
203503,Tony Snell
1628981,Bruno Fernando
1630168,Onyeka Okongwu
101150,Lou Williams
1627739,Kris Dunn
1628369,Jayson Tatum
1630202,Payton Pritchard
1629035,Carsen Edwards
203935,Marcus Smart
1627759,Jaylen Brown
202684,Tristan Thompson
1628400,Semi Ojeleye
1629684,Grant Williams
1629057,Robert Williams III
1628464,Daniel Theis
201952,Jeff Teague
203095,Evan Fournier
202689,Kemba Walker
1629750,Javonte Green
1630174,Aaron Nesmith
1629605,Tacko Fall
1628436,Luke Kornet
203953,Jabari Parker
1629641,Romeo Langford
1629682,Tremont Waters
1629021,Moritz Wagner
203083,Andre Drummond
1628386,Jarrett Allen
1630171,Isaac Okoro
201580,JaVale McGee
1626204,Larry Nance Jr.
1629636,Darius Garland
201567,Kevin Love
1626224,Cedi Osman
1629012,Collin Sexton
1630205,Lamar Stevens
1628422,Damyean Dotson
1627748,Thon Maker
1630271,Brodric Thomas
1627752,Taurean Prince
1629731,Dean Wade
1629685,Dylan Windler
203521,Matthew Dellavedova
1628392,Isaiah Hartenstein
1629662,Mfiondu Kabengele
1629725,Jeremiah Martin
203957,Dante Exum
1627812,Yogi Ferrell
1626188,Quinn Cook
2760,Anderson Varejao
1629716,Marques Bolden
1629627,Zion Williamson
1628366,Lonzo Ball
1627742,Brandon Ingram
200755,JJ Redick
1628404,Josh Hart
1629638,Nickeil Alexander-Walker
1630184,Kira Lewis Jr.
203500,Steven Adams
202339,Eric Bledsoe
201949,James Johnson
1630230,Naji Marshall
1628414,Sindarius Thornwell
1629637,Jaxson Hayes
1626195,Willy Hernangomez
1629740,Nicolo Melli
202738,Isaiah Thomas
203263,James Nunnally
1628411,Wes Iwundu
1629117,Wenyen Gabriel
1629712,Didi Louzada
1630266,Will Magnay
203897,Zach LaVine
1628990,Chandler Hutchison
1630172,Patrick Williams
1629690,Adam Mokoka
1629632,Coby White
202066,Garrett Temple
1628374,Lauri Markkanen
1628976,Wendell Carter Jr.
203107,Tomas Satoransky
1629655,Daniel Gafford
203490,Otto Porter Jr.
1627756,Denzel Valentine
1629653,Devon Dotson
201152,Thaddeus Young
202696,Nikola Vucevic
1628972,Troy Brown Jr.
1627853,Ryan Arcidiacono
1626245,Cristiano Felicio
202329,Al-Farouq Aminu
1626161,Willie Cauley-Stein
1626246,Boban Marjanovic
203501,Tim Hardaway Jr.
1629029,Luka Doncic
1630179,Tyrell Terry
1626196,Josh Richardson
1630182,Josh Green
1628973,Jalen Brunson
203939,Dwight Powell
204001,Kristaps Porzingis
203504,Trey Burke
1627827,Dorian Finney-Smith
1628467,Maxi Kleber
1630207,Nate Hinton
1630189,Tyler Bey
203999,Nikola Jokic
1627750,Jamal Murray
203115,Will Barton
1628420,Monte Morris
1629008,Michael Porter Jr.
203914,Gary Harris
203210,JaMychal Green
1628408,PJ Dozier
1629626,Bol Bol
1630210,Markus Howard
1630192,Zeke Nnaji
200794,Paul Millsap
1630267,Facundo Campazzo
203932,Aaron Gordon
1630181,R.J. Hampton
203085,Austin Rivers
1627885,Shaquille Harrison
1628427,Vlatko Cancar
204222,Greg Whittington
203952,Andrew Wiggins
201939,Stephen Curry
1629672,Eric Paschall
1630164,James Wiseman
1630185,Nico Mannion
1626172,Kevon Looney
1626162,Kelly Oubre Jr.
1627814,Damion Lee
203110,Draymond Green
202954,Brad Wanamaker
203145,Kent Bazemore
1629673,Jordan Poole
1629308,Juan Toscano-Anderson
1628539,Mychal Mulder
1627780,Gary Payton II
1629346,Alen Smailagic
1627737,Marquese Chriss
1628395,Jordan Bell
202322,John Wall
201569,Eric Gordon
202326,DeMarcus Cousins
1628425,Sterling Brown
1628021,David Nwaba
1630231,Kenyon Martin Jr.
1627863,Danuel House Jr.
201935,James Harden
1626174,Christian Wood
1630222,Mason Jones
1630256,Jae'Sean Tate
203463,Ben McLemore
203506,Victor Oladipo
201571,D.J. Augustin
1629645,Kevin Porter Jr.
1628383,Justin Patton
1628391,D.J. Wilson
203482,Kelly Olynyk
202340,Avery Bradley
1629717,Armoni Brooks
1629610,DaQuan Jeffries
1630237,Anthony Lamb
1629017,Khyri Thomas
1628419,Cameron Oliver
1629244,Cameron Reynolds
203998,Bruno Caboclo
1629066,Rodions Kurucs
200782,P.J. Tucker
1629034,Ray Spalding
202331,Paul George
201586,Serge Ibaka
1629611,Terance Mann
1629599,Amir Coffey
201976,Patrick Beverley
202704,Reggie Jackson
202695,Kawhi Leonard
201587,Nicolas Batum
1627826,Ivica Zubac
202694,Marcus Morris Sr.
1628379,Luke Kennard
202335,Patrick Patterson
1630206,Jay Scrubb
1630187,Daniel Oturu
1630238,Malik Fitts
2544,LeBron James
1627936,Alex Caruso
203484,Kentavious Caldwell-Pope
203076,Anthony Davis
202083,Wesley Matthews
1626149,Montrezl Harrell
203471,Dennis Schroder
1628398,Kyle Kuzma
1629659,Talen Horton-Tucker
202693,Markieff Morris
201188,Marc Gasol
1628035,Alfonzo McKinnie
1629719,Devontae Cacok
1628961,Kostas Antetokounmpo
1627745,Damian Jones
201162,Jared Dudley
201609,Goran Dragic
1629134,Kendrick Nunn
1628389,Bam Adebayo
1629130,Duncan Robinson
1629639,Tyler Herro
1630173,Precious Achiuwa
1629644,KZ Okpala
2738,Andre Iguodala
202710,Jimmy Butler
203473,Dewayne Dedmon
1629216,Gabe Vincent
1629622,Max Strus
202357,Nemanja Bjelica
2772,Trevor Ariza
1629735,Chris Silva
203090,Maurice Harkless
203086,Meyers Leonard
2617,Udonis Haslem
1629670,Jordan Nwora
201950,Jrue Holiday
1628978,Donte DiVincenzo
1627854,Bryn Forbes
201572,Brook Lopez
203114,Khris Middleton
203507,Giannis Antetokounmpo
1626171,Bobby Portis
1628470,Torrey Craig
1626192,Pat Connaughton
203648,Thanasis Antetokounmpo
1629603,Mamadi Diakite
1626253,Axel Toupane
1630241,Sam Merrill
1629091,Elijah Bryant
1628382,Justin Jackson
1629121,Jaylen Adams
1629020,Jarred Vanderbilt
1630162,Anthony Edwards
1627736,Malik Beasley
1629633,Jarrett Culver
1626156,D'Angelo Russell
1626157,Karl-Anthony Towns
201937,Ricky Rubio
1629006,Josh Okogie
1629675,Naz Reid
202334,Ed Davis
1629162,Jordan McLaughlin
1627823,Juancho Hernangomez
1629669,Jaylen Nowell
1630183,Jaden McDaniels
1627774,Jake Layman
202681,Kyrie Irving
201142,Kevin Durant
203925,Joe Harris
1627747,Caris LeVert
1627789,Timothe Luwawu-Cabarrot
1629185,Chris Chiozza
1629013,Landry Shamet
1628971,Bruce Brown
201599,DeAndre Jordan
201145,Jeff Green
204020,Tyler Johnson
1629076,Tyler Cook
1629651,Nicolas Claxton
1629617,Reggie Perry
1628993,Alize Johnson
200746,LaMarcus Aldridge
201933,Blake Griffin
1628455,Mike James
203460,Andre Roberson
202697,Iman Shumpert
203915,Spencer Dinwiddie
203658,Norvel Pelle
203943,Noah Vonleh
203944,Julius Randle
1628995,Kevin Knox II
1630193,Immanuel Quickley
1629628,RJ Barrett
1630167,Obi Toppin
202692,Alec Burks
1629011,Mitchell Robinson
203493,Reggie Bullock
1628373,Frank Ntilikina
203901,Elfrid Payton
201565,Derrick Rose
201959,Taj Gibson
203457,Nerlens Noel
1629033,Theo Pinson
1628372,Dennis Smith Jr.
1629607,Jared Harper
1629649,Ignas Brazdeikis
1628407,Dwayne Bacon
1628365,Markelle Fultz
203920,Khem Birch
1629109,Gary Clark
1630175,Cole Anthony
1630211,Karim Mane
203487,Michael Carter-Williams
203082,Terrence Ross
203516,James Ennis III
1629648,Jordan Bone
1628964,Mo Bamba
1628412,Frank Mason
1629643,Chuma Okeke
1626184,Chasson Randle
1629962,Devin Cannady
1629606,Robert Franks
1629743,Donta Hall
1626167,Myles Turner
203926,Doug McDermott
1627734,Domantas Sabonis
1627763,Malcolm Brogdon
1628988,Aaron Holiday
203933,T.J. Warren
204456,T.J. McConnell
203200,Justin Holiday
203960,JaKarr Sampson
1628410,Edmond Sumner
203087,Jeremy Lamb
1629048,Goga Bitadze
1629052,Oshae Brissett
1630199,Cassius Stanley
1629103,Kelan Martin
1628578,Amida Brimah
1629665,Jalen Lecque
1628968,Brian Bowen II
203954,Joel Embiid
1629003,Shake Milton
1627788,Furkan Korkmaz
203552,Seth Curry
203118,Mike Scott
1627732,Ben Simmons
202699,Tobias Harris
201980,Danny Green
1630178,Tyrese Maxey
1629751,Dakota Mathias
1629680,Matisse Thybulle
1630198,Isaiah Joe
2730,Dwight Howard
1630194,Paul Reed
1628396,Tony Bradley
201588,George Hill
1629730,Rayjon Tucker
1628390,Terrance Ferguson
201229,Anthony Tolliver
1629738,Vincent Poirier
203109,Jae Crowder
101108,Chris Paul
1628969,Mikal Bridges
1626164,Devin Booker
204038,Langston Galloway
1626163,Frank Kaminsky
1629028,Deandre Ayton
1628975,Jevon Carter
1629661,Cameron Johnson
203967,Dario Saric
202734,E'Twaun Moore
1627846,Abdel Nader
1626166,Cameron Payne
1630188,Jalen Smith
1630234,Ty-Shon Alexander
203081,Damian Lillard
203468,CJ McCollum
203994,Jusuf Nurkic
2546,Carmelo Anthony
202683,Enes Kanter
1629018,Gary Trent Jr.
1629833,Keljin Blevins
1629014,Anfernee Simons
203496,Robert Covington
203918,Rodney Hood
1626181,Norman Powell
1629642,Nassir Little
1629604,CJ Elleby
1627884,Derrick Jones Jr.
1628385,Harry Giles III
1626178,Rondae Hollis-Jefferson
1628388,T.J. Leaf
1627741,Buddy Hield
1626158,Richaun Holmes
1628963,Marvin Bagley III
203084,Harrison Barnes
203922,Glenn Robinson III
1628368,De'Aaron Fox
202355,Hassan Whiteside
202709,Cory Joseph
1630218,Robert Woodard II
1630169,Tyrese Haliburton
1629713,Justin James
1629002,Chimezie Metu
1629056,Terence Davis
1629663,Louis King
1629657,Kyle Guy
1626153,Delon Wright
1630186,Jahmi'us Ramsey
1629640,Keldon Johnson
1627751,Jakob Poeltl
1629022,Lonnie Walker IV
200752,Rudy Gay
1627749,Dejounte Murray
201942,DeMar DeRozan
1629234,Drew Eubanks
1628401,Derrick White
1626168,Trey Lyles
201988,Patty Mills
1630170,Devin Vassell
1629677,Luka Samanic
1629683,Quinndary Weatherspoon
203476,Gorgui Dieng
1630200,Tre Jones
1628966,Keita Bates-Diop
1629650,Moses Brown
1629676,Isaiah Roby
1629004,Svi Mykhailiuk
1628983,Shai Gilgeous-Alexander
1629652,Luguentz Dort
1630177,Theo Maledon
1628977,Hamidou Diallo
1629647,Darius Bazley
201143,Al Horford
1630197,Aleksej Pokusevski
1630221,Josh Hall
1629660,Ty Jerome
1629026,Kenrich Williams
203488,Mike Muscala
203121,Darius Miller
1629658,Jaylen Hoard
1629718,Charlie Brown Jr.
1630466,Gabriel Deck
1629620,Justin Robinson
1630201,Malachi Flynn
1628449,Chris Boucher
1630223,Jalen Harris
1626169,Stanley Johnson
1627761,DeAndre' Bembry
1630273,Freddie Gillespie
1629139,Yuta Watanabe
203382,Aron Baynes
1628384,OG Anunoby
1627832,Fred VanVleet
200768,Kyle Lowry
1627783,Pascal Siakam
1629744,Matt Thomas
203458,Alex Len
1628778,Paul Watson
1627740,Henry Ellenson
1627775,Patrick McCaw
1628378,Donovan Mitchell
201144,Mike Conley
202711,Bojan Bogdanovic
1627777,Georges Niang
203903,Jordan Clarkson
202324,Derrick Favors
204060,Joe Ingles
203497,Rudy Gobert
1626220,Royce O'Neale
1629714,Jarrell Brantley
1629671,Miye Oni
101141,Ersan Ilyasova
1630235,Trent Forrest
1630190,Elijah Hughes
1629752,Juwan Morgan
1628962,Udoka Azubuike
1628415,Dillon Brooks
202685,Jonas Valanciunas
1629630,Ja Morant
1626145,Tyus Jones
203937,Kyle Anderson
1629634,Brandon Clarke
1629723,John Konchar
1630217,Desmond Bane
1630214,Xavier Tillman
1628960,Grayson Allen
1628991,Jaren Jackson Jr.
1629001,De'Anthony Melton
1626159,Justise Winslow
204025,Tim Frazier
1629681,Killian Tillie
1630253,Sean McDermott
1629007,Jontay Porter
202722,Davis Bertans
201566,Russell Westbrook
203078,Bradley Beal
1628418,Thomas Bryant
201577,Robin Lopez
202397,Ish Smith
203526,Raul Neto
1629060,Rui Hachimura
1629010,Jerome Robinson
1630166,Deni Avdija
1629726,Garrison Mathews
1630216,Cassius Winston
1630264,Anthony Gill
1629067,Isaac Bonga
1628394,Anzejs Pasecniks
203486,Mason Plumlee
203924,Jerami Grant
1628367,Josh Jackson
1626143,Jahlil Okafor
1630165,Killian Hayes
1630180,Saddiq Bey
1630191,Isaiah Stewart
1629635,Sekou Doumbouya
201961,Wayne Ellington
1630240,Saben Lee
1628402,Frank Jackson
203585,Rodney McGruder
1629686,Deividas Sirvydis
1628984,Devonte' Graham
203469,Cody Zeller
202330,Gordon Hayward
202687,Bismack Biyombo
1629023,P.J. Washington
1628970,Miles Bridges
1626179,Terry Rozier
1629667,Jalen McDaniels
1630163,LaMelo Ball
1628997,Caleb Martin
1628370,Malik Monk
1628998,Cody Martin
1630268,Nate Darling
1630176,Vernon Carey Jr.
1630203,Grant Riller
1630208,Nick Richards
