shot_clock,margin,x,y,shottype,closest_def_dist,touch_time,dribble_range,value,made
22-18 Very Early,-12,130,292,Arc3,4-6 Feet - Open,Touch 2-6 Seconds,3-6 Dribbles,3,FALSE
18-15 Early,-15,27,14,AtRim,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE
18-15 Early,-8,22,14,AtRim,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE
15-7 Average,-20,116,269,Arc3,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,3,TRUE
22-18 Very Early,-3,-120,240,Arc3,4-6 Feet - Open,Touch < 2 Seconds,1 Dribble,3,FALSE
18-15 Early,-6,29,26,AtRim,2-4 Feet - Tight,Touch < 2 Seconds,1 Dribble,2,TRUE
22-18 Very Early,-14,-90,231,Arc3,6+ Feet - Wide Open,Touch 2-6 Seconds,3-6 Dribbles,3,FALSE
22-18 Very Early,-15,72,215,LongMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE
7-4 Late,-19,1,26,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
4-0 Very Late,-19,13,4,AtRim,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,2,FALSE
18-15 Early,-18,74,243,Arc3,4-6 Feet - Open,Touch 2-6 Seconds,3-6 Dribbles,3,TRUE
4-0 Very Late,-15,68,446,Arc3,6+ Feet - Wide Open,Touch 2-6 Seconds,3-6 Dribbles,3,FALSE
18-15 Early,-20,136,216,Arc3,6+ Feet - Wide Open,Touch < 2 Seconds,0 Dribbles,3,TRUE
18-15 Early,-17,14,-5,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
18-15 Early,-19,-6,3,AtRim,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,TRUE
18-15 Early,-17,12,14,AtRim,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE
22-18 Very Early,-16,-85,237,Arc3,4-6 Feet - Open,Touch 2-6 Seconds,3-6 Dribbles,3,FALSE
15-7 Average,-17,9,185,LongMidRange,0-2 Feet - Very Tight,Touch 6+ Seconds,7+ Dribbles,2,TRUE
4-0 Very Late,-18,73,425,Arc3,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,3,FALSE
18-15 Early,-24,48,252,Arc3,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,3,FALSE
15-7 Average,-28,-2,151,LongMidRange,4-6 Feet - Open,Touch < 2 Seconds,1 Dribble,2,FALSE
18-15 Early,-31,-196,169,Arc3,6+ Feet - Wide Open,Touch < 2 Seconds,1 Dribble,3,FALSE
18-15 Early,-28,151,197,Arc3,6+ Feet - Wide Open,Touch < 2 Seconds,1 Dribble,3,FALSE
15-7 Average,-29,11,52,ShortMidRange,2-4 Feet - Tight,Touch < 2 Seconds,1 Dribble,2,TRUE
4-0 Very Late,-28,-56,107,ShortMidRange,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE
22-18 Very Early,0,-172,193,Arc3,4-6 Feet - Open,Touch 2-6 Seconds,3-6 Dribbles,3,FALSE
22-18 Very Early,1,-41,120,ShortMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
15-7 Average,-2,-165,230,Arc3,6+ Feet - Wide Open,Touch < 2 Seconds,0 Dribbles,3,FALSE
7-4 Late,-5,-165,218,Arc3,4-6 Feet - Open,Touch 2-6 Seconds,3-6 Dribbles,3,FALSE
18-15 Early,-8,67,190,LongMidRange,6+ Feet - Wide Open,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE
15-7 Average,-8,-234,57,Corner3,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,3,TRUE
22-18 Very Early,-10,-183,214,Arc3,6+ Feet - Wide Open,Touch 2-6 Seconds,3-6 Dribbles,3,FALSE
15-7 Average,-9,-224,136,Arc3,6+ Feet - Wide Open,Touch < 2 Seconds,0 Dribbles,3,FALSE
22-18 Very Early,-13,3,8,AtRim,4-6 Feet - Open,Touch 6+ Seconds,3-6 Dribbles,2,TRUE
4-0 Very Late,-13,-22,286,Arc3,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,3,TRUE
18-15 Early,-10,6,29,AtRim,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE
22-18 Very Early,-10,93,253,Arc3,4-6 Feet - Open,Touch 2-6 Seconds,3-6 Dribbles,3,FALSE
15-7 Average,-16,6,171,LongMidRange,6+ Feet - Wide Open,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE
18-15 Early,-14,0,105,ShortMidRange,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,2,TRUE
4-0 Very Late,-20,-154,213,Arc3,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,3,FALSE
15-7 Average,-20,12,48,ShortMidRange,0-2 Feet - Very Tight,Touch < 2 Seconds,0 Dribbles,2,FALSE
4-0 Very Late,-24,95,261,Arc3,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,3,FALSE
15-7 Average,1,-13,100,ShortMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,2 Dribbles,2,TRUE
15-7 Average,-1,122,116,LongMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,2 Dribbles,2,TRUE
15-7 Average,-1,5,5,AtRim,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,2,FALSE
15-7 Average,-3,-164,199,Arc3,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,3,TRUE
18-15 Early,4,-9,25,AtRim,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE
7-4 Late,1,44,183,LongMidRange,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,2,FALSE
18-15 Early,-6,57,246,Arc3,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,3,FALSE
18-15 Early,-5,-9,14,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
18-15 Early,-2,3,29,AtRim,2-4 Feet - Tight,Touch 6+ Seconds,3-6 Dribbles,2,FALSE
22-18 Very Early,-6,-92,276,Arc3,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,3,TRUE
15-7 Average,10,183,185,Arc3,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,3,TRUE
7-4 Late,12,-202,50,LongMidRange,4-6 Feet - Open,Touch 2-6 Seconds,2 Dribbles,2,FALSE
15-7 Average,-8,26,275,Arc3,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,3,TRUE
15-7 Average,-17,-107,176,LongMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE
18-15 Early,-10,141,251,Arc3,4-6 Feet - Open,Touch 2-6 Seconds,3-6 Dribbles,3,FALSE
18-15 Early,-24,110,166,LongMidRange,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,2,FALSE
18-15 Early,-21,-96,141,LongMidRange,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,TRUE
22-18 Very Early,-26,83,283,Arc3,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,3,FALSE
22-18 Very Early,-30,-39,38,ShortMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE
18-15 Early,0,-3,73,ShortMidRange,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,2,FALSE
18-15 Early,9,-137,236,Arc3,6+ Feet - Wide Open,Touch < 2 Seconds,0 Dribbles,3,FALSE
15-7 Average,6,52,263,Arc3,2-4 Feet - Tight,Touch 2-6 Seconds,1 Dribble,3,TRUE
7-4 Late,9,92,146,LongMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,1 Dribble,2,TRUE
15-7 Average,9,-166,139,LongMidRange,4-6 Feet - Open,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
15-7 Average,4,6,33,AtRim,2-4 Feet - Tight,Touch < 2 Seconds,1 Dribble,2,TRUE
15-7 Average,20,44,112,ShortMidRange,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE
15-7 Average,16,-11,17,AtRim,0-2 Feet - Very Tight,Touch < 2 Seconds,0 Dribbles,2,TRUE
15-7 Average,17,-118,188,LongMidRange,4-6 Feet - Open,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
18-15 Early,22,128,281,Arc3,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,3,TRUE
15-7 Average,-8,-20,31,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,2 Dribbles,2,TRUE
15-7 Average,-4,18,277,Arc3,0-2 Feet - Very Tight,Touch 2-6 Seconds,2 Dribbles,3,TRUE
15-7 Average,-7,116,266,Arc3,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,3,FALSE
15-7 Average,-2,-22,24,AtRim,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,TRUE
15-7 Average,-11,150,234,Arc3,2-4 Feet - Tight,Touch < 2 Seconds,1 Dribble,3,FALSE
18-15 Early,-12,-115,201,LongMidRange,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE
18-15 Early,-11,210,139,Arc3,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,3,FALSE
18-15 Early,-9,-138,236,Arc3,4-6 Feet - Open,Touch < 2 Seconds,1 Dribble,3,TRUE
18-15 Early,-9,-19,57,ShortMidRange,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,TRUE
15-7 Average,2,-11,4,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE
15-7 Average,9,145,199,Arc3,6+ Feet - Wide Open,Touch 2-6 Seconds,3-6 Dribbles,3,TRUE
15-7 Average,4,3,125,ShortMidRange,4-6 Feet - Open,Touch 2-6 Seconds,1 Dribble,2,TRUE
18-15 Early,4,122,244,Arc3,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,3,FALSE
22-18 Very Early,4,-234,31,Corner3,6+ Feet - Wide Open,Touch < 2 Seconds,0 Dribbles,3,FALSE
15-7 Average,4,3,80,ShortMidRange,2-4 Feet - Tight,Touch 6+ Seconds,3-6 Dribbles,2,FALSE
18-15 Early,12,-12,295,Arc3,6+ Feet - Wide Open,Touch 6+ Seconds,3-6 Dribbles,3,FALSE
15-7 Average,8,20,39,ShortMidRange,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE
15-7 Average,12,-127,252,Arc3,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,3,FALSE
15-7 Average,7,-162,222,Arc3,0-2 Feet - Very Tight,Touch < 2 Seconds,0 Dribbles,3,FALSE
22-18 Very Early,9,-31,257,Arc3,6+ Feet - Wide Open,Touch < 2 Seconds,0 Dribbles,3,FALSE
15-7 Average,5,-233,-8,Corner3,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,3,FALSE
15-7 Average,9,-167,193,Arc3,6+ Feet - Wide Open,Touch < 2 Seconds,0 Dribbles,3,FALSE
4-0 Very Late,6,-165,132,LongMidRange,4-6 Feet - Open,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
7-4 Late,9,1,62,ShortMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
4-0 Very Late,15,125,292,Arc3,4-6 Feet - Open,Touch 2-6 Seconds,3-6 Dribbles,3,FALSE
15-7 Average,4,-32,24,ShortMidRange,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,2,FALSE
15-7 Average,-4,163,190,Arc3,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,3,TRUE
18-15 Early,4,3,80,ShortMidRange,4-6 Feet - Open,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
15-7 Average,1,2,110,ShortMidRange,4-6 Feet - Open,Touch 2-6 Seconds,1 Dribble,2,TRUE
15-7 Average,0,-182,62,LongMidRange,4-6 Feet - Open,Touch < 2 Seconds,2 Dribbles,2,TRUE
4-0 Very Late,-9,-178,187,Arc3,4-6 Feet - Open,Touch 2-6 Seconds,3-6 Dribbles,3,FALSE
22-18 Very Early,-4,57,252,Arc3,4-6 Feet - Open,Touch 2-6 Seconds,3-6 Dribbles,3,FALSE
15-7 Average,-3,-30,26,ShortMidRange,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE
18-15 Early,-11,87,243,Arc3,0-2 Feet - Very Tight,Touch 6+ Seconds,7+ Dribbles,3,TRUE
15-7 Average,-7,-22,256,Arc3,2-4 Feet - Tight,Touch < 2 Seconds,1 Dribble,3,FALSE
18-15 Early,-12,84,210,LongMidRange,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE
4-0 Very Late,-13,-35,10,AtRim,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,2,TRUE
18-15 Early,-14,-143,216,Arc3,2-4 Feet - Tight,Touch < 2 Seconds,1 Dribble,3,FALSE
22-18 Very Early,-13,-28,26,AtRim,0-2 Feet - Very Tight,Touch 2-6 Seconds,2 Dribbles,2,FALSE
18-15 Early,-5,-93,171,LongMidRange,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,2,TRUE
18-15 Early,-17,-29,22,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
4-0 Very Late,-15,130,292,Arc3,2-4 Feet - Tight,Touch < 2 Seconds,1 Dribble,3,TRUE
18-15 Early,-13,14,110,ShortMidRange,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,2,TRUE
18-15 Early,-16,104,292,Arc3,0-2 Feet - Very Tight,Touch 6+ Seconds,7+ Dribbles,3,FALSE
15-7 Average,-9,-164,205,Arc3,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,3,FALSE
15-7 Average,-6,95,228,Arc3,6+ Feet - Wide Open,Touch 2-6 Seconds,1 Dribble,3,TRUE
15-7 Average,-4,127,218,Arc3,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,3,FALSE
18-15 Early,-7,-20,15,AtRim,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,TRUE
15-7 Average,2,-1,277,Arc3,4-6 Feet - Open,Touch 2-6 Seconds,3-6 Dribbles,3,TRUE
15-7 Average,2,-1,18,AtRim,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE
18-15 Early,8,25,26,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE
18-15 Early,12,-30,21,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,2 Dribbles,2,FALSE
15-7 Average,19,-3,260,Arc3,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,3,FALSE
18-15 Early,-7,13,68,ShortMidRange,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE
15-7 Average,-8,5,31,AtRim,6+ Feet - Wide Open,Touch < 2 Seconds,0 Dribbles,2,TRUE
15-7 Average,-5,53,273,Arc3,6+ Feet - Wide Open,Touch < 2 Seconds,0 Dribbles,3,TRUE
15-7 Average,-6,156,223,Arc3,2-4 Feet - Tight,Touch < 2 Seconds,1 Dribble,3,FALSE
15-7 Average,13,-11,23,AtRim,6+ Feet - Wide Open,Touch 2-6 Seconds,7+ Dribbles,2,TRUE
7-4 Late,15,102,144,LongMidRange,4-6 Feet - Open,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
15-7 Average,13,158,211,Arc3,6+ Feet - Wide Open,Touch < 2 Seconds,1 Dribble,3,TRUE
15-7 Average,12,0,169,LongMidRange,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,2,TRUE
18-15 Early,13,-179,185,Arc3,6+ Feet - Wide Open,Touch 2-6 Seconds,3-6 Dribbles,3,TRUE
18-15 Early,11,-120,90,LongMidRange,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,2,FALSE
7-4 Late,11,34,13,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,1 Dribble,2,TRUE
22-18 Very Early,14,-25,3,AtRim,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE
15-7 Average,12,59,119,ShortMidRange,6+ Feet - Wide Open,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE
4-0 Very Late,6,35,38,ShortMidRange,4-6 Feet - Open,Touch < 2 Seconds,1 Dribble,2,TRUE
4-0 Very Late,7,-9,318,Arc3,4-6 Feet - Open,Touch 2-6 Seconds,2 Dribbles,3,FALSE
15-7 Average,7,237,1,Corner3,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,3,FALSE
15-7 Average,9,182,197,Arc3,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,3,FALSE
4-0 Very Late,20,-21,37,ShortMidRange,0-2 Feet - Very Tight,Touch 6+ Seconds,3-6 Dribbles,2,FALSE
18-15 Early,14,67,128,LongMidRange,4-6 Feet - Open,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE
15-7 Average,0,8,6,AtRim,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,2,FALSE
15-7 Average,0,36,264,Arc3,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,3,FALSE
22-18 Very Early,-3,119,104,LongMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
15-7 Average,0,-54,258,Arc3,6+ Feet - Wide Open,Touch < 2 Seconds,1 Dribble,3,TRUE
18-15 Early,3,169,180,Arc3,6+ Feet - Wide Open,Touch < 2 Seconds,0 Dribbles,3,FALSE
15-7 Average,28,-223,77,Corner3,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,3,FALSE
15-7 Average,3,71,24,ShortMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE
18-15 Early,4,15,133,ShortMidRange,6+ Feet - Wide Open,Touch < 2 Seconds,2 Dribbles,2,FALSE
15-7 Average,7,52,25,ShortMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE
15-7 Average,-3,141,129,LongMidRange,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,2,TRUE
18-15 Early,-2,181,199,Arc3,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,3,TRUE
7-4 Late,0,185,195,Arc3,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,3,FALSE
22-18 Very Early,-6,118,232,Arc3,4-6 Feet - Open,Touch 2-6 Seconds,7+ Dribbles,3,FALSE
4-0 Very Late,-4,-161,120,LongMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,7+ Dribbles,2,FALSE
15-7 Average,3,-14,5,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE
15-7 Average,-5,5,8,AtRim,2-4 Feet - Tight,Touch < 2 Seconds,1 Dribble,2,TRUE
15-7 Average,-2,-223,110,Arc3,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,3,TRUE
7-4 Late,-11,13,11,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,2 Dribbles,2,TRUE
15-7 Average,-4,-201,193,Arc3,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,3,FALSE
22-18 Very Early,-7,88,245,Arc3,4-6 Feet - Open,Touch < 2 Seconds,1 Dribble,3,TRUE
22-18 Very Early,2,34,5,AtRim,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,TRUE
15-7 Average,5,71,55,ShortMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE
15-7 Average,3,-224,123,Arc3,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,3,TRUE
22-18 Very Early,6,-2,18,AtRim,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,2,FALSE
7-4 Late,-2,-8,0,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
18-15 Early,-3,-227,132,Arc3,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,3,TRUE
15-7 Average,-2,45,22,ShortMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,2 Dribbles,2,FALSE
15-7 Average,-4,-3,8,AtRim,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,2,TRUE
22-18 Very Early,-3,46,248,Arc3,6+ Feet - Wide Open,Touch 2-6 Seconds,3-6 Dribbles,3,FALSE
18-15 Early,-4,24,1,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
22-18 Very Early,-2,-41,268,Arc3,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,3,TRUE
