shot_clock,margin,x,y,shottype,closest_def_dist,touch_time,dribble_range,value,made
18-15 Early,-10,37,38,ShortMidRange,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,2,TRUE
18-15 Early,-24,-143,237,Arc3,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,3,FALSE
22-18 Very Early,-24,214,227,Arc3,4-6 Feet - Open,Touch 2-6 Seconds,3-6 Dribbles,3,TRUE
15-7 Average,-3,66,120,ShortMidRange,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,2,TRUE
22-18 Very Early,1,0,59,ShortMidRange,0-2 Feet - Very Tight,Touch 2-6 Seconds,2 Dribbles,2,FALSE
15-7 Average,4,-100,237,Arc3,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,3,TRUE
15-7 Average,7,197,171,Arc3,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,3,TRUE
4-0 Very Late,17,75,10,ShortMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
18-15 Early,-3,183,234,Arc3,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,3,TRUE
15-7 Average,-13,89,178,LongMidRange,0-2 Feet - Very Tight,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE
18-15 Early,-16,10,31,AtRim,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,2,TRUE
15-7 Average,-15,96,11,ShortMidRange,4-6 Feet - Open,Touch < 2 Seconds,1 Dribble,2,TRUE
22-18 Very Early,-8,-211,162,Arc3,6+ Feet - Wide Open,Touch < 2 Seconds,0 Dribbles,3,TRUE
15-7 Average,-5,169,220,Arc3,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,3,TRUE
18-15 Early,-2,20,47,ShortMidRange,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE
7-4 Late,0,-105,110,LongMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,2 Dribbles,2,FALSE
18-15 Early,-6,78,275,Arc3,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,3,TRUE
18-15 Early,-7,176,206,Arc3,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,3,TRUE
15-7 Average,-15,23,14,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,2 Dribbles,2,FALSE
15-7 Average,-1,46,119,ShortMidRange,4-6 Feet - Open,Touch 2-6 Seconds,2 Dribbles,2,TRUE
7-4 Late,-5,-192,150,Arc3,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,3,TRUE
15-7 Average,2,13,22,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
15-7 Average,2,152,27,LongMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE
15-7 Average,9,-14,21,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
15-7 Average,10,25,6,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
15-7 Average,0,97,239,Arc3,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,3,TRUE
22-18 Very Early,3,103,165,LongMidRange,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,2,FALSE
15-7 Average,-3,223,69,Corner3,2-4 Feet - Tight,Touch < 2 Seconds,1 Dribble,3,TRUE
15-7 Average,2,209,166,Arc3,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,3,FALSE
15-7 Average,-2,0,10,AtRim,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,TRUE
18-15 Early,-1,9,-1,AtRim,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,2,FALSE
7-4 Late,7,-224,189,Arc3,2-4 Feet - Tight,Touch < 2 Seconds,1 Dribble,3,FALSE
22-18 Very Early,-1,-6,36,AtRim,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,2,TRUE
15-7 Average,4,192,195,Arc3,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,3,FALSE
15-7 Average,9,-126,80,LongMidRange,4-6 Feet - Open,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
15-7 Average,12,-182,199,Arc3,4-6 Feet - Open,Touch 2-6 Seconds,3-6 Dribbles,3,TRUE
15-7 Average,13,2,25,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
18-15 Early,-15,-122,239,Arc3,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,3,TRUE
18-15 Early,-10,-2,11,AtRim,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,2,TRUE
15-7 Average,-29,-3,25,AtRim,0-2 Feet - Very Tight,Touch < 2 Seconds,0 Dribbles,2,TRUE
22-18 Very Early,-28,148,204,Arc3,0-2 Feet - Very Tight,Touch 2-6 Seconds,3-6 Dribbles,3,TRUE
18-15 Early,-32,9,34,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,1 Dribble,2,TRUE
22-18 Very Early,6,19,11,AtRim,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE
15-7 Average,1,-2,66,ShortMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
18-15 Early,-1,3,4,AtRim,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,2,TRUE
15-7 Average,1,3,6,AtRim,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,2,TRUE
22-18 Very Early,-3,11,17,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE
7-4 Late,-17,153,146,LongMidRange,4-6 Feet - Open,Touch 2-6 Seconds,7+ Dribbles,2,FALSE
4-0 Very Late,-16,-138,482,Arc3,4-6 Feet - Open,Touch < 2 Seconds,2 Dribbles,3,FALSE
22-18 Very Early,-21,106,249,Arc3,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,3,TRUE
15-7 Average,11,41,241,Arc3,4-6 Feet - Open,Touch 2-6 Seconds,3-6 Dribbles,3,FALSE
18-15 Early,7,16,37,ShortMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
15-7 Average,10,-2,52,ShortMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,2 Dribbles,2,TRUE
15-7 Average,7,-32,269,Arc3,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,3,TRUE
18-15 Early,10,-26,227,LongMidRange,2-4 Feet - Tight,Touch < 2 Seconds,1 Dribble,2,FALSE
15-7 Average,8,3,64,ShortMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE
22-18 Very Early,-9,108,249,Arc3,6+ Feet - Wide Open,Touch < 2 Seconds,2 Dribbles,3,TRUE
22-18 Very Early,-13,97,67,ShortMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,7+ Dribbles,2,FALSE
15-7 Average,-15,22,258,Arc3,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,3,TRUE
22-18 Very Early,-14,3,21,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE
18-15 Early,-18,-152,222,Arc3,4-6 Feet - Open,Touch 2-6 Seconds,3-6 Dribbles,3,FALSE
15-7 Average,1,106,146,LongMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,2 Dribbles,2,FALSE
15-7 Average,-1,-231,11,Corner3,6+ Feet - Wide Open,Touch < 2 Seconds,0 Dribbles,3,TRUE
18-15 Early,9,231,-1,Corner3,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,3,FALSE
15-7 Average,19,-142,-26,LongMidRange,6+ Feet - Wide Open,Touch < 2 Seconds,2 Dribbles,2,FALSE
15-7 Average,19,-93,39,ShortMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE
15-7 Average,18,133,230,Arc3,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,3,TRUE
15-7 Average,0,-221,-11,Corner3,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,3,TRUE
22-18 Very Early,2,40,250,Arc3,4-6 Feet - Open,Touch 2-6 Seconds,3-6 Dribbles,3,FALSE
7-4 Late,-3,32,14,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,2 Dribbles,2,FALSE
18-15 Early,-5,156,202,Arc3,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,3,TRUE
15-7 Average,-4,-4,295,Arc3,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,3,TRUE
18-15 Early,-2,-33,10,AtRim,2-4 Feet - Tight,Touch < 2 Seconds,1 Dribble,2,FALSE
18-15 Early,0,-10,114,ShortMidRange,0-2 Feet - Very Tight,Touch 6+ Seconds,7+ Dribbles,2,TRUE
22-18 Very Early,-3,-158,211,Arc3,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,3,TRUE
18-15 Early,-4,-91,167,LongMidRange,6+ Feet - Wide Open,Touch 6+ Seconds,7+ Dribbles,2,FALSE
18-15 Early,1,-5,7,AtRim,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE
4-0 Very Late,0,90,238,Arc3,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,3,TRUE
22-18 Very Early,-5,-41,265,Arc3,2-4 Feet - Tight,Touch < 2 Seconds,1 Dribble,3,TRUE
22-18 Very Early,-8,4,15,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE
18-15 Early,4,127,235,Arc3,0-2 Feet - Very Tight,Touch < 2 Seconds,0 Dribbles,3,TRUE
24-22,6,-4,98,ShortMidRange,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,2,FALSE
22-18 Very Early,5,-214,140,Arc3,4-6 Feet - Open,Touch 2-6 Seconds,3-6 Dribbles,3,FALSE
15-7 Average,3,144,158,LongMidRange,0-2 Feet - Very Tight,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE
4-0 Very Late,3,-26,342,Arc3,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,3,FALSE
18-15 Early,-10,-18,38,ShortMidRange,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE
22-18 Very Early,-7,62,269,Arc3,4-6 Feet - Open,Touch 2-6 Seconds,3-6 Dribbles,3,FALSE
15-7 Average,-5,-7,289,Arc3,2-4 Feet - Tight,Touch < 2 Seconds,1 Dribble,3,TRUE
15-7 Average,-5,120,178,LongMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,0 Dribbles,2,FALSE
22-18 Very Early,-7,10,25,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE
15-7 Average,-10,-115,248,Arc3,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,3,TRUE
18-15 Early,2,65,276,Arc3,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,3,FALSE
15-7 Average,-1,126,271,Arc3,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,3,FALSE
18-15 Early,0,5,47,ShortMidRange,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,TRUE
22-18 Very Early,2,-141,275,Arc3,6+ Feet - Wide Open,Touch < 2 Seconds,0 Dribbles,3,TRUE
15-7 Average,14,234,75,Corner3,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,3,FALSE
24-22,15,-90,268,Arc3,6+ Feet - Wide Open,Touch 2-6 Seconds,3-6 Dribbles,3,TRUE
15-7 Average,16,-109,163,LongMidRange,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,2,TRUE
15-7 Average,14,94,55,ShortMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
15-7 Average,9,17,8,AtRim,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,2,TRUE
15-7 Average,13,-35,261,Arc3,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,3,TRUE
22-18 Very Early,0,9,29,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE
18-15 Early,-6,-142,239,Arc3,4-6 Feet - Open,Touch 6+ Seconds,3-6 Dribbles,3,TRUE
18-15 Early,-3,-70,71,ShortMidRange,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE
15-7 Average,1,-10,-1,AtRim,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,2,TRUE
7-4 Late,13,17,11,AtRim,0-2 Feet - Very Tight,Touch < 2 Seconds,0 Dribbles,2,FALSE
15-7 Average,3,-23,12,AtRim,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,2,FALSE
18-15 Early,19,-9,8,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,1 Dribble,2,TRUE
4-0 Very Late,-8,-22,204,LongMidRange,2-4 Feet - Tight,Touch < 2 Seconds,1 Dribble,2,FALSE
7-4 Late,12,-43,96,ShortMidRange,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,TRUE
7-4 Late,17,0,8,AtRim,0-2 Feet - Very Tight,Touch 2-6 Seconds,2 Dribbles,2,FALSE
15-7 Average,0,62,43,ShortMidRange,2-4 Feet - Tight,Touch < 2 Seconds,1 Dribble,2,FALSE
18-15 Early,13,125,262,Arc3,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,3,FALSE
18-15 Early,12,-209,73,LongMidRange,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,2,TRUE
18-15 Early,13,60,247,Arc3,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,3,TRUE
18-15 Early,14,78,74,ShortMidRange,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,2,FALSE
15-7 Average,2,0,176,LongMidRange,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,2,FALSE
15-7 Average,-2,-45,74,ShortMidRange,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,2,FALSE
15-7 Average,-5,-18,7,AtRim,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,2,TRUE
18-15 Early,0,154,206,Arc3,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,3,TRUE
18-15 Early,-2,28,289,Arc3,0-2 Feet - Very Tight,Touch 6+ Seconds,7+ Dribbles,3,TRUE
18-15 Early,0,22,210,LongMidRange,0-2 Feet - Very Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE
15-7 Average,-9,-11,-3,AtRim,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,TRUE
15-7 Average,8,48,16,ShortMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
4-0 Very Late,6,-183,183,Arc3,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,3,FALSE
15-7 Average,6,222,125,Arc3,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,3,FALSE
15-7 Average,4,-22,274,Arc3,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,3,FALSE
15-7 Average,11,-157,159,LongMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE
18-15 Early,-6,-41,317,Arc3,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,3,FALSE
15-7 Average,-6,26,27,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,1 Dribble,2,TRUE
22-18 Very Early,-7,-1,29,AtRim,4-6 Feet - Open,Touch 2-6 Seconds,3-6 Dribbles,2,TRUE
15-7 Average,1,-6,21,AtRim,0-2 Feet - Very Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE
15-7 Average,-28,4,21,AtRim,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,2,TRUE
15-7 Average,-33,-2,11,AtRim,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE
7-4 Late,4,206,143,Arc3,6+ Feet - Wide Open,Touch < 2 Seconds,0 Dribbles,3,TRUE
15-7 Average,2,-6,15,AtRim,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE
18-15 Early,-6,0,20,AtRim,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE
15-7 Average,-4,124,222,Arc3,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,3,FALSE
15-7 Average,-4,6,256,Arc3,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,3,TRUE
18-15 Early,-1,10,29,AtRim,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE
4-0 Very Late,-2,-2,20,AtRim,2-4 Feet - Tight,Touch 2-6 Seconds,2 Dribbles,2,TRUE
15-7 Average,-6,110,242,Arc3,4-6 Feet - Open,Touch < 2 Seconds,1 Dribble,3,TRUE
4-0 Very Late,15,-76,192,LongMidRange,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE
7-4 Late,9,-83,133,LongMidRange,4-6 Feet - Open,Touch 2-6 Seconds,2 Dribbles,2,FALSE
15-7 Average,15,21,262,Arc3,6+ Feet - Wide Open,Touch 2-6 Seconds,2 Dribbles,3,TRUE
15-7 Average,16,81,238,Arc3,4-6 Feet - Open,Touch 2-6 Seconds,1 Dribble,3,FALSE
15-7 Average,16,18,-1,AtRim,2-4 Feet - Tight,Touch < 2 Seconds,1 Dribble,2,TRUE
7-4 Late,-2,7,34,AtRim,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,TRUE
22-18 Very Early,0,38,157,LongMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,7+ Dribbles,2,FALSE
15-7 Average,0,-96,237,Arc3,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,3,TRUE
22-18 Very Early,6,2,1,AtRim,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,TRUE
15-7 Average,4,26,27,AtRim,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,2,TRUE
15-7 Average,2,160,247,Arc3,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,3,TRUE
22-18 Very Early,6,111,146,LongMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,1 Dribble,2,TRUE
18-15 Early,11,-170,228,Arc3,4-6 Feet - Open,Touch 2-6 Seconds,1 Dribble,3,TRUE
24-22,17,167,215,Arc3,6+ Feet - Wide Open,Touch < 2 Seconds,0 Dribbles,3,FALSE
15-7 Average,12,-30,59,ShortMidRange,2-4 Feet - Tight,Touch 2-6 Seconds,2 Dribbles,2,FALSE
7-4 Late,4,125,154,LongMidRange,4-6 Feet - Open,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
4-0 Very Late,10,-7,27,AtRim,0-2 Feet - Very Tight,Touch 6+ Seconds,7+ Dribbles,2,TRUE
18-15 Early,17,22,33,ShortMidRange,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE
18-15 Early,20,172,236,Arc3,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,3,TRUE
15-7 Average,-3,230,41,Corner3,2-4 Feet - Tight,Touch 2-6 Seconds,0 Dribbles,3,TRUE
7-4 Late,-6,170,78,LongMidRange,0-2 Feet - Very Tight,Touch 2-6 Seconds,0 Dribbles,2,FALSE
15-7 Average,1,11,90,ShortMidRange,0-2 Feet - Very Tight,Touch 2-6 Seconds,3-6 Dribbles,2,FALSE
15-7 Average,3,-164,226,Arc3,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,3,TRUE
15-7 Average,2,2,195,LongMidRange,4-6 Feet - Open,Touch < 2 Seconds,1 Dribble,2,FALSE
15-7 Average,9,4,122,ShortMidRange,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,TRUE
15-7 Average,9,90,126,LongMidRange,2-4 Feet - Tight,Touch < 2 Seconds,2 Dribbles,2,FALSE
15-7 Average,-2,71,270,Arc3,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,3,TRUE
15-7 Average,-9,17,17,AtRim,0-2 Feet - Very Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE
7-4 Late,-9,139,260,Arc3,2-4 Feet - Tight,Touch < 2 Seconds,0 Dribbles,3,TRUE
15-7 Average,-1,4,38,AtRim,0-2 Feet - Very Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE
22-18 Very Early,-1,154,254,Arc3,4-6 Feet - Open,Touch < 2 Seconds,0 Dribbles,3,FALSE
18-15 Early,-4,-97,140,LongMidRange,2-4 Feet - Tight,Touch < 2 Seconds,1 Dribble,2,FALSE
15-7 Average,-4,-81,245,Arc3,4-6 Feet - Open,Touch 6+ Seconds,7+ Dribbles,3,TRUE
4-0 Very Late,6,5,613,Arc3,6+ Feet - Wide Open,Touch < 2 Seconds,0 Dribbles,3,FALSE
15-7 Average,10,9,32,AtRim,2-4 Feet - Tight,Touch 6+ Seconds,7+ Dribbles,2,FALSE
