team_name,team_code,color1,color2,color3,color4,color5
Atlanta Hawks,ATL,#E03A3E,#C1D32F,#26282A,,
Boston Celtics,BOS,#007A33,#BA9653,#963821,#FFFFFF,#000000
Brooklyn Nets,BKN,#000000,#FFFFFF,,,
Charlotte Hornets,CHA,#00788C,#1D1160,#A1A1A4,,
Chicago Bulls,CHI,#CE1141,#000000,,,
Cleveland Cavaliers,CLE,#860038,#041E42,#FDBB30,#000000,
Dallas Mavericks,DAL,#00538C,#002B5E,#B8C4CA,#000000,
Denver Nuggets,DEN,#0E2240,#FEC524,#8B2131,#1D428A,
Detroit Pistons,DET,#1D42BA,#C8102E,#BEC0C2,#002D62,
Golden State Warriors,GSW,#FFC72C,#1D428A,,,
Houston Rockets,HOU,#CE1141,#000000,#C4CED4,,
Indiana Pacers,IND,#002D62,#FDBB30,#BEC0C2,,
Los Angeles Clippers,LAC,#C8102E,#1D428A,#BEC0C2,#000000,
Los Angeles Lakers,LAL,#552583,#FDB927,#000000,,
Memphis Grizzlies,MEM,#5D76A9,#12173F,#F5B112,#707271,
Miami Heat,MIA,#98002E,#000000,#F9A01B,,
Milwaukee Bucks,MIL,#00471B,#EEE1C6,#0077C0,#000000,
Minnesota Timberwolves,MIN,#236192,#0C2340,#9EA2A2,#78BE20,
New Orleans Pelicans,NOP,#0C2340,#C8102E,#85714D,,
New York Knicks,NYK,#006BB6,#F58426,#BEC0C2,#000000,
Oklahoma City Thunder,OKC,#007AC1,#EF3B24,#002D62,#FDBB30,
Orlando Magic,ORL,#0077C0,#C4CED4,#000000,,
Philadelphia 76ers,PHI,#006BB6,#ED174C,#002B5C,#C4CED4,
Phoenix Suns,PHX,#1D1160,#E56020,#000000,#63727A,#F9AD1B,
Portland Trail Blazers,POR,#E03A3E,#000000,,,
Sacramento Kings,SAC,#5A2D81,#63727A,#000000,,
San Antonio Spurs,SAS,#C4CED4,#000000,,,
Toronto Raptors,TOR,#CE1141,#000000,#A1A1A4,#B4975A,
Utah Jazz,UTA,#002B5C,#00471B,#F9A01B,,
Washington Wizards,WAS,#002B5C,#E31837,#C4CED4,,